comparison,tv,l2,fidelity
Target vs SIM ideal (FULL),1.3803947568336028e-10,1.0236113719170552e-10,1.0
Target vs NMR raw avg (FULL),0.230895505856409,0.18505182284529031,0.9349332984765337
