comparison,tv,l2,fidelity
Target vs SIM ideal (FULL),1.3803947568336028e-10,1.0236113719170552e-10,1.0
Target vs NMR raw avg (FULL),0.24524511978275554,0.19232959523361942,0.9270421412511203
"Target vs NMR mitigated (FULL, ridge=0.001)",0.25052195270750527,0.20264561058181632,0.9220164157693171
"Target vs NMR mixed (FULL, lam=0.3)",0.24682816966018042,0.1950126249804044,0.925781676663008
