timestamp,backend,stage,ladder,shots,repeats,clip_theta_cmd,readout_mitigation,ridge,mfull_cond,tv_vs_target,l2_vs_target,fid_vs_target,tv_vs_sim,l2_vs_sim,fid_vs_sim,probs_raw_list,probs_mitig_list,q0_p0_raw,q0_p1_raw,q1_p0_raw,q1_p1_raw,q2_p0_raw,q2_p1_raw,q0_p0_mitig,q0_p1_mitig,q1_p0_mitig,q1_p1_mitig,q2_p0_mitig,q2_p1_mitig
20260308-131538,SIM,L0,B,200000,1,None,False,0.001,1.3685262493066765,0.75,0.6324555320567877,0.22499999998538278,0.0,0.0,1.0,"[0.5000000000974484, 0.0, 0.0, 0.0, 0.49999999990255156, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5000000000974484,0.49999999990255156,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260308-131538,NMR,L0,B,2048,1,None,True,0.001,1.3685262493066765,0.6919762572641472,0.5826887549603246,0.36608793289016167,0.058023742735852674,0.059050312807732805,0.941737084122038,"[0.41615536506583617, 0.01767103552375859, 0.03673302527007527, 0.012380602573224934, 0.43481377147588124, 0.04094045753394724, 0.015539379910212441, 0.02576636264706407]","[0.4559801902427921, 0.0, 0.02265017408901121, 0.0, 0.4859960670213551, 0.028040783097832207, 0.0, 0.007332785549009238]",0.48294002843289496,0.517059971567105,0.9095806295994232,0.09041937040057671,0.9032415417220051,0.09675845827799483,0.47863036433180334,0.5213696356681966,0.9700170403619794,0.02998295963802045,0.9646264313531585,0.03537356864684144
20260308-131538,NMR,L0,B,2048,1,None,True,0.001,1.3685262493066765,0.6846423422378842,0.572989358507817,0.3840060537973942,0.07206777292111484,0.08939199745111859,0.9329794020822917,"[0.38700341384733006, 0.026128347546397854, 0.06271347256016084, 0.028240450971754854, 0.4470532287702725, 0.01719584998324095, 0.009972154719210318, 0.02169308160163265]","[0.4279322271763336, 0.004578814836129942, 0.05187621044360882, 0.004901027922773502, 0.5067101150615507, 0.0, 0.0, 0.004001604559603494]",0.5040856849256437,0.4959143150743564,0.8773808401472414,0.12261915985275866,0.9067422698969737,0.0932577301030263,0.4892882803788459,0.5107117196211542,0.9392211570740143,0.060778842925985815,0.9865185526814931,0.013481447318506938
20260308-131538,NMR,L0,B,2048,1,None,True,0.001,1.3685262493066765,0.6561202973482971,0.5545602367073771,0.45221259776220085,0.09387970265170287,0.0916819755282319,0.9058521540100737,"[0.3949660837016332, 0.033393595880603526, 0.06500025887376576, 0.026128729289226806, 0.41408543915669854, 0.03103610376753732, 0.010295458353222823, 0.025094330977311997]","[0.4374749564147535, 0.012211145159328295, 0.05502166033318141, 0.0028065456105829853, 0.4686453409335436, 0.016639066481160824, 0.0, 0.0072012850674493395]",0.5194886677452293,0.4805113322547707,0.8734812225064725,0.12651877749352738,0.8843472400853204,0.11565275991467965,0.5075143075178462,0.49248569248215374,0.9349705089887863,0.06502949101121375,0.9611419576814785,0.03885804231852144
20260308-131538,NMR,L0,B,2048,1,None,True,0.001,1.3685262493066765,0.6410926592829981,0.5372782121766415,0.5010212665598244,0.1089073407170019,0.11424468291224316,0.8887645952371129,"[0.3614349103218961, 0.018205763857451235, 0.05209321979464361, 0.037381235853172864, 0.4317551283668426, 0.03803558203404458, 0.02314578662038917, 0.03794837315155989]","[0.4000589589594234, 0.0, 0.040501818648127484, 0.015351693508055486, 0.49103370032357474, 0.023748149898096847, 0.0071101770052424485, 0.02219550165747972]",0.4691151298271638,0.5308848701728363,0.8494313845802345,0.15056861541976554,0.8684290451037714,0.13157095489622855,0.45591247111560634,0.5440875288843937,0.914840809181095,0.08515919081890513,0.938704654936368,0.061295345063632045
20260308-131538,NMR,L0,B,2048,1,None,True,0.001,1.3685262493066765,0.6525952952761527,0.5514195814077254,0.4260934145920367,0.09740470472384737,0.09910849143285526,0.9015302983658828,"[0.3784693275231297, 0.02328022755308562, 0.039012873713399635, 0.020973293481261906, 0.4238250157354209, 0.05113309941808895, 0.01957978419349681, 0.043726378382116564]","[0.42031173185628584, 0.00016544864429522205, 0.025799086735968417, 0.0, 0.48228356341986667, 0.04136307843413272, 0.002201866538899204, 0.027875224370551743]",0.46173572227087684,0.5382642777291232,0.8767076702297252,0.12329232977027493,0.860887001165447,0.13911299883455305,0.4462762672365495,0.5537237327634503,0.9441238223545804,0.05587617764541936,0.9305962485510202,0.06940375144897969
20260308-131538,NMR,L0,B,2048,5,None,True,0.001,1.3685262493066765,0.6729073117407389,0.5655862193976676,0.4167697075967101,0.07709268825926102,0.08325381145857107,0.9219645020296936,"[0.3876058200919651, 0.023735794072259363, 0.05111057004240902, 0.02502086243372827, 0.43030651670102316, 0.0356682185473718, 0.01570651275930631, 0.03084570535193703]","[0.43197082899674116, 0.001017282001795794, 0.03946360210506486, 0.0011125732623695956, 0.4909364827439978, 0.02170785927988369, 0.0, 0.013791371610147126]",0.48747304664036173,0.5125269533596383,0.8773163494126194,0.12268365058738065,0.8847294195947036,0.11527058040529647,0.47356428636597137,0.5264357136340286,0.9456324530224185,0.05436754697758158,0.9623709138458039,0.037629086154196204
20260308-131538,SIM,L01,B,200000,1,None,False,0.001,1.3685262493066765,0.5,0.3872983346272808,0.49390105435240006,0.0,0.0,1.0,"[0.15000000008559006, 0.0, 0.3500000000118583, 0.0, 0.3499999999647434, 0.0, 0.14999999993780824, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5000000000974484,0.4999999999025516,0.5000000000503335,0.4999999999496666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260308-131538,NMR,L01,B,2048,1,None,True,0.001,1.3685262493066765,0.38158261927925397,0.30860490196793117,0.7870345552744628,0.11841738072074601,0.09190339467440171,0.8813616571798114,"[0.12751993837377512, 0.05327241772244912, 0.27860666063562944, 0.04120617573093674, 0.2793625108523743, 0.04065387413883264, 0.12582750255206646, 0.05355091999393615]","[0.1318641215487125, 0.030322703059816873, 0.29834218040964977, 0.02413614929170659, 0.31067887459692284, 0.020387491965751972, 0.14069744272396886, 0.04357103640347054]",0.5006051924627904,0.49939480753720955,0.5008087410874311,0.49919125891256877,0.8113166124138452,0.18868338758615466,0.48466515430988577,0.5153348456901141,0.49325319117120414,0.5067468088287959,0.881582619279254,0.11841738072074598
20260308-131538,NMR,L01,B,2048,1,None,True,0.001,1.3685262493066765,0.42204063887897325,0.3310452194556179,0.7344951835542882,0.08936753327878293,0.08864093121371198,0.9186904009524327,"[0.15260138951919758, 0.04192528614088268, 0.2565977020314269, 0.036519596455933244, 0.3071765013082043, 0.03436410424051176, 0.12829347253274173, 0.0425219477711019]","[0.16140817224334625, 0.017253863889541237, 0.273027402588567, 0.018148693607203944, 0.3436919376588893, 0.011459181003534952, 0.14391312638817075, 0.031097622620746584]",0.4876439741474404,0.5123560258525597,0.5360672812087962,0.46393271879120374,0.8446690653915705,0.1553309346084296,0.46983813232865845,0.5301618676713415,0.5338131547953117,0.4661868452046882,0.9220406388789733,0.07795936112102672
20260308-131538,NMR,L01,B,2048,1,None,True,0.001,1.3685262493066765,0.38068387387036007,0.305659651861589,0.8092656444898024,0.12753756486121637,0.10605728964098546,0.8774036563122923,"[0.12142945062587135, 0.04626461682277667, 0.2539907258501543, 0.05313662062387421, 0.3191683485434842, 0.04734554134067396, 0.11641553216307705, 0.04224916403008828]","[0.12470941621908913, 0.023304693045653104, 0.27004329485614353, 0.036719842568434045, 0.35822143869631984, 0.02869448211401912, 0.1277097240988076, 0.03059710840153362]",0.4748214139226765,0.5251785860773235,0.5342079573328061,0.4657920426671938,0.811004057182587,0.1889959428174131,0.4547772466893198,0.5452227533106803,0.5349300300750812,0.4650699699249188,0.8806838738703602,0.11931612612963989
20260308-131538,NMR,L01,B,2048,1,None,True,0.001,1.3685262493066765,0.3718954501906179,0.299292325786297,0.7858114690388996,0.1281045498093821,0.11083238689565456,0.8703043951060967,"[0.13080592987033454, 0.07138759947204472, 0.25597219730690224, 0.057661954482514384, 0.298211018713442, 0.028472452928176708, 0.1183629904153704, 0.039125856811215054]","[0.13455662518368586, 0.053265749921166936, 0.272455942235948, 0.04233529284464175, 0.3337057785178812, 0.004967248973841181, 0.13117710425310294, 0.027536258069732287]",0.5158276811317959,0.48417231886820417,0.5288770009839979,0.4711229990160021,0.8033521363060492,0.19664786369395088,0.5026136101854425,0.4973863898145576,0.5264954025965751,0.47350459740342504,0.871895450190618,0.12810454980938216
20260308-131538,NMR,L01,B,2048,1,None,True,0.001,1.3685262493066765,0.37667444167957154,0.2968171128312196,0.7740336725945088,0.13727037910064988,0.14026716719084825,0.8692916809722798,"[0.12246926770262928, 0.08195579642437224, 0.2267107562935005, 0.0607866317126948, 0.3188612128611636, 0.03629697003795915, 0.13838497561951346, 0.014534389348166936]","[0.12406007623262617, 0.06617301672884678, 0.23866954476417232, 0.04433645951662337, 0.35782608420271994, 0.012816082074958308, 0.1561187364800531, 0.0]",0.49192245213319685,0.5080775478668031,0.5595832470261243,0.44041675297387567,0.8064262124768069,0.19357378752319315,0.47323909724226865,0.5267609027577314,0.5608752592391513,0.4391247407608488,0.8766744416795715,0.12332555832042845
20260308-131538,NMR,L01,B,2048,5,None,True,0.001,1.3685262493066765,0.38663171013850195,0.30580373094137775,0.7940027757769873,0.11336828986149808,0.1010532707272925,0.8844537183403015,"[0.13096519521836156, 0.05896114331650508, 0.2543756084235227, 0.049862195801190674, 0.3045559184557337, 0.03742658853723084, 0.12545689465655382, 0.03839645559090167]","[0.1353276501772957, 0.038068255362163364, 0.2705230017790613, 0.03313813512251149, 0.34084780449959196, 0.015665720353074106, 0.13993325368255297, 0.026496179023749077]",0.49416414275958,0.50583585724042,0.5319088455278311,0.46809115447216887,0.8153536167541718,0.18464638324582827,0.47705704244103186,0.5229429575589681,0.5299094303921251,0.4700905696078748,0.8866317101385018,0.11336828986149805
20260308-131538,SIM,FULL,B,200000,1,None,False,0.001,1.3685262493066765,1.3803947568336028e-10,1.0236114435367675e-10,0.9999999999999998,1.249000902703301e-16,9.813077866773594e-17,1.0,"[0.05000000004529277, 0.10000000004029724, 0.1500000000419197, 0.1999999999699386, 0.20000000001052967, 0.14999999995421368, 0.09999999996933845, 0.04999999996846971]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5000000000974483,0.4999999999025515,0.5000000000503333,0.4999999999496665,0.5000000000670806,0.4999999999329192,0.0,0.0,0.0,0.0,0.0,0.0
